step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s,pair_frac,mixer_depth,attn_rank
1850,train,6.398519936411655,600.9549278179306,10307.610190501424,1139.25830078125,91.94294142723083,0.05,0,256
1900,train,6.397520166644919,600.3544114889824,10287.537021503656,1139.25830078125,94.61078953742981,0.05,0,256
1950,train,6.395832973892783,599.3423518870966,10268.906008918217,1139.25830078125,97.27540588378906,0.05,0,256
2000,train,6.3933630280349325,597.8638354071036,10250.361675550688,1139.25830078125,99.94886350631714,0.05,0,256
2050,train,6.392141505836103,597.1339773199571,10233.659562201297,1139.25830078125,102.61353659629822,0.05,0,256
2100,train,6.391563804078136,596.7891115958763,10225.457263418695,1139.25830078125,105.19940304756165,0.05,0,256
2150,train,6.389862526078271,595.774670577531,10244.995166897379,1139.25830078125,107.49756169319153,0.05,0,256
2200,train,6.389479518857451,595.5465282695828,10263.028002497107,1139.25830078125,109.80307173728943,0.05,0,256
2250,train,6.388939630821089,595.2250866029364,10280.791911812918,1139.25830078125,112.10342645645142,0.05,0,256
2300,train,6.389023951166146,595.2752783036859,10297.376266754383,1139.25830078125,114.40894937515259,0.05,0,256
2350,train,6.388015405516176,594.6752186558556,10312.886575288876,1139.25830078125,116.71921253204346,0.05,0,256
2400,train,6.38766532557947,594.4670712291925,10327.697344874257,1139.25830078125,119.03059887886047,0.05,0,256
2450,train,6.385947185066563,593.4465702036458,10342.046506810782,1139.25830078125,121.34078097343445,0.05,0,256
2500,train,6.3852932086137715,593.058596997241,10356.604205557676,1139.25830078125,123.64207172393799,0.05,0,256
2550,train,6.384297293525076,592.4682550060535,10369.455902283486,1139.25830078125,125.95762133598328,0.05,0,256
2600,train,6.38444721217524,592.5570837054817,10381.796776482848,1139.25830078125,128.27374958992004,0.05,0,256
2650,train,6.382864915034044,591.6202237168451,10393.206739415156,1139.25830078125,130.59607434272766,0.05,0,256
2700,train,6.380998360762018,590.5169624296999,10405.858594406236,1139.25830078125,132.89744305610657,0.05,0,256
2750,train,6.380308325964076,590.1096257312588,10415.83130373433,1139.25830078125,135.2279965877533,0.05,0,256
2800,train,6.379928072024056,589.8852768785017,10426.797466282864,1139.25830078125,137.54098558425903,0.05,0,256
2850,train,6.379017009353771,589.3480991614264,10436.860471734757,1139.25830078125,139.8612163066864,0.05,0,256
2900,train,6.378064819304378,588.7871948519067,10447.726937566858,1139.25830078125,142.16604328155518,0.05,0,256
2950,train,6.376918012592519,588.1123567733729,10431.499339461066,1139.25830078125,144.84130716323853,0.05,0,256
3000,val,6.210960388183594,498.17946728724405,35200.610552887374,1139.25830078125,0.014545202255249023,0.05,0,256
3050,val,6.333115745993221,562.9077419114711,45524.84376969236,1139.25830078125,0.5735769271850586,0.05,0,256
3100,val,6.326162281602916,559.0071599681836,46297.62373762385,1139.25830078125,1.1169471740722656,0.05,0,256
3150,val,6.309940982338609,550.0124874034078,46541.67965801406,1139.25830078125,1.6611347198486328,0.05,0,256
3200,val,6.31074481010437,550.4547804521994,46645.447760610485,1139.25830078125,2.195283889770508,nan,nan,nan
