step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s,pair_frac,mixer_depth
0,train,10.5272216796875,37317.64983678439,907.1880033136376,1186.79296875,0.5643813610076904,0.15,1
50,train,7.110258551204906,1224.4640918346402,10449.91744748047,1228.46142578125,2.4987757205963135,0.15,1
100,train,6.802497391653533,900.0923702361208,11644.789458176741,1228.46142578125,4.440784454345703,0.38414522058823525,3
150,train,6.696248136608806,809.363500255802,12042.018640079037,1229.84423828125,6.4201860427856445,0.38414522058823525,3
200,train,6.630166903064025,757.6086072880724,12249.144243928924,1229.84423828125,8.401566505432129,0.38414522058823525,3
250,train,6.587447101851383,725.9252890257326,12378.774723358754,1229.84423828125,10.381641387939453,0.38414522058823525,3
300,train,6.55770731447543,704.6542905126955,12471.702292263075,1229.84423828125,12.356933832168579,0.38414522058823525,3
350,train,6.535363243516015,689.0840441795586,12537.17133254186,1229.84423828125,14.334333896636963,0.38414522058823525,3
400,train,6.520806819126196,679.1260962814779,12591.201714766737,1229.84423828125,16.305989265441895,0.38414522058823525,3
450,train,6.51326130869119,674.0210276309731,12631.13812208362,1229.84423828125,18.281171321868896,0.38414522058823525,3
500,train,6.501168214870308,665.9191154357699,12657.369378014522,1229.84423828125,20.265822410583496,0.38414522058823525,3
550,train,6.489549830691135,658.2269829235911,12685.970672321442,1229.84423828125,22.23810911178589,0.38414522058823525,3
600,train,6.4831616787267805,654.0355309994488,12712.583933853075,1229.84423828125,24.205307245254517,0.38414522058823525,3
650,train,6.475722463815809,649.1880731210117,12731.062776174296,1229.84423828125,26.18100357055664,0.38414522058823525,3
700,train,6.470058593532328,645.5215492447446,12750.69916048818,1229.84423828125,28.148417234420776,0.38414522058823525,3
750,train,6.4622841516283955,640.5224372947642,12766.013719101367,1229.84423828125,30.11997389793396,0.38414522058823525,3
800,train,6.454490437787421,635.5497915693419,12776.012649938097,1229.84423828125,32.10015606880188,0.38414522058823525,3
850,train,6.450734724589436,633.1673255591528,12787.715669658,1229.84423828125,34.07270002365112,0.38414522058823525,3
900,train,6.448184571176205,631.5547088267058,12800.632412365861,1229.84423828125,36.0382194519043,0.38414522058823525,3
950,train,6.446160716589317,630.2778264803137,12811.691196314421,1229.84423828125,38.00528693199158,0.38414522058823525,3
1000,train,6.4404558054098,626.6923845001573,12819.098751978387,1229.84423828125,39.980345726013184,0.38414522058823525,3
1050,train,6.435752961206845,623.7520671989467,12825.7095421986,1229.84423828125,41.955729484558105,0.38414522058823525,3
