step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s,pair_frac,mixer_depth
0,train,10.5272216796875,37317.64983678439,955.8071671618209,1186.79296875,0.5356729030609131,0.15,1
50,train,7.110263562669941,1224.4702282089988,10505.478894927146,1228.46142578125,2.485560178756714,0.15,1
100,train,6.802202602424244,899.827071805491,11653.96822516177,1228.46142578125,4.437286853790283,0.15,1
150,train,6.678564261126992,795.1766260634668,12108.454537904945,1228.46142578125,6.384960174560547,0.15,1
200,train,6.618849948864078,749.0831176563015,12342.038962136266,1228.46142578125,8.338330507278442,0.0629387854292258,3
250,train,6.578566357434034,719.507073515977,12451.598273218615,1228.46142578125,10.320924043655396,0.0629387854292258,3
300,train,6.551675409969698,700.416676412952,12541.657067383485,1228.46142578125,12.288009405136108,0.0629387854292258,3
350,train,6.5302597654511105,685.576277394091,12608.096833383177,1228.46142578125,14.253697633743286,0.0629387854292258,3
400,train,6.512426676001038,673.4587023476379,12654.508230821775,1228.46142578125,16.22441554069519,0.0629387854292258,3
450,train,6.49723088926328,663.3023299990751,12689.249972198071,1228.46142578125,18.197450637817383,0.0629387854292258,3
500,train,6.486674234538735,656.336906794341,12710.094704058823,1228.46142578125,20.181753635406494,0.0629387854292258,3
550,train,6.479041637829124,651.346421288115,12738.689613020517,1228.46142578125,22.146076917648315,0.0629387854292258,3
600,train,6.472005120529708,646.7792980916527,12757.466472822625,1228.46142578125,24.120149612426758,0.0629387854292258,3
650,train,6.466130448559645,642.9908208045823,12776.678008428167,1228.46142578125,26.08753228187561,0.0629387854292258,3
700,train,6.458450246639496,638.0714365810857,12792.602150292018,1228.46142578125,28.056215286254883,0.0629387854292258,3
750,train,6.453544177323302,634.9486803773316,12805.880906403678,1228.46142578125,30.026204586029053,0.0629387854292258,3
800,train,6.448843142810683,631.9707698315104,12821.507361459753,1228.46142578125,31.986254692077637,0.0629387854292258,3
850,train,6.44651548562683,630.5014692065919,12832.190656626395,1228.46142578125,33.95460772514343,0.0629387854292258,3
900,train,6.442671378894598,628.0824068100594,12841.610893574021,1228.46142578125,35.923218965530396,0.0629387854292258,3
950,train,6.4379573645526555,625.1285849856237,12847.44126202869,1228.46142578125,37.89953112602234,0.0629387854292258,3
1000,train,6.4333267173805195,622.2405270207539,12852.228493074776,1228.46142578125,39.87728667259216,0.0629387854292258,3
1050,train,6.430045776657555,620.2023381529536,12855.581596721788,1228.46142578125,41.85823845863342,0.0629387854292258,3
1100,train,6.424974216319127,617.0649071330861,12857.474337756294,1228.46142578125,43.84313631057739,0.0629387854292258,3
1150,train,6.423856890999059,616.375829921617,12859.333577848032,1228.46142578125,45.827569246292114,0.0629387854292258,3
1200,train,6.419860498394994,613.917465679839,12862.766191938586,1228.46142578125,47.805580139160156,0.0629387854292258,3
1250,train,6.418602302301226,613.1455228521858,12865.05028242535,1228.46142578125,49.78697991371155,0.0629387854292258,3
1300,train,6.416378729348912,611.7836637094339,12869.42488616031,1228.46142578125,51.7592670917511,0.0629387854292258,3
1350,train,6.41408909699548,610.3845064288392,12872.274653435046,1228.46142578125,53.736578702926636,0.0629387854292258,3
1400,train,6.412346079552029,609.3215222560214,12873.424582178826,1228.46142578125,55.72037148475647,0.0629387854292258,3
1450,train,6.40969983238257,607.7112384466312,12877.669146455148,1228.46142578125,57.689943075180054,0.0629387854292258,3
1500,train,6.408744829801779,607.1311496827605,12880.42190392103,1228.46142578125,59.66512632369995,0.0629387854292258,3
1550,train,6.406708050204584,605.8958158227281,12882.199018258594,1228.46142578125,61.64413380622864,0.0629387854292258,3
1600,train,6.404693339036302,604.6763396144371,12886.101011735747,1228.46142578125,63.612104177474976,0.0629387854292258,3
1650,train,6.402582537109819,603.4013337476973,12887.88241571894,1228.46142578125,65.58967351913452,0.0629387854292258,3
1700,train,6.400892051369355,602.3821540942682,12890.448918710006,1228.46142578125,67.5625810623169,0.0629387854292258,3
1750,train,6.398626044298974,601.018697258856,12891.236793421896,1228.46142578125,69.54429697990417,0.0629387854292258,3
1800,train,6.396661724533259,599.8392631243996,12893.137345474757,1228.46142578125,71.51959800720215,0.0629387854292258,3
1850,train,6.394702576483217,598.6652396201579,12896.441423127655,1228.46142578125,73.48631834983826,0.0629387854292258,3
1900,train,6.3939370130752655,598.2070988093881,12899.797523739247,1228.46142578125,75.45172691345215,0.0629387854292258,3
1950,train,6.392653551790911,597.4398156524802,12901.88586177365,1228.46142578125,77.42372012138367,0.0629387854292258,3
2000,train,6.3914757661376225,596.7365738242629,12904.839652439576,1228.46142578125,79.38975048065186,0.0629387854292258,3
2050,train,6.390297481921869,596.0338626164262,12906.175342586046,1228.46142578125,81.36508083343506,0.0629387854292258,3
2100,train,6.389778557531837,595.7246463447012,12907.226056630461,1228.46142578125,83.34184241294861,0.0629387854292258,3
2150,train,6.388839389157262,595.1654232403308,12909.60420859534,1228.46142578125,85.30950927734375,0.0629387854292258,3
2200,train,6.386491914165935,593.7699258819865,12912.757480867735,1228.46142578125,87.27121233940125,0.0629387854292258,3
2250,train,6.3851758032467885,592.988972822224,12914.31684641366,1228.46142578125,89.24297070503235,0.0629387854292258,3
2300,train,6.384507990360053,592.5930993438988,12914.94572249128,1228.46142578125,91.22082471847534,0.0629387854292258,3
2350,train,6.383260098988328,591.8540687391449,12915.433357174124,1228.46142578125,93.19950532913208,0.0629387854292258,3
2400,train,6.382081260983023,591.1567797454537,12917.418878027573,1228.46142578125,95.16699981689453,0.0629387854292258,3
2450,train,6.381084486495617,590.567823326476,12919.950344926638,1228.46142578125,97.12978506088257,0.0629387854292258,3
2500,train,6.380298506207868,590.10383102705,12920.414295035363,1228.46142578125,99.10765790939331,0.0629387854292258,3
2550,train,6.379723698052646,589.7647320003274,12921.782539689366,1228.46142578125,101.07831454277039,0.0629387854292258,3
2600,train,6.3790580554450305,589.3722900937562,12924.597366380536,1228.46142578125,103.03702020645142,0.0629387854292258,3
