step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s,pair_frac,mixer_depth,attn_rank
0,train,10.4613037109375,34937.069608987564,824.3132805845587,1106.73046875,0.6211230754852295,0.05,0,64
50,train,7.208313586665135,1350.6126545389288,9598.71765887402,1137.75830078125,2.7203633785247803,0.05,0,160
100,train,6.842295542801961,936.6367585740994,10959.642904250806,1137.75830078125,4.718401908874512,0.05,0,160
150,train,6.710225920014034,820.7560437234885,11641.257415363953,1137.75830078125,6.641206979751587,0.05,0,64
200,train,6.643184709311718,767.5354822303182,12038.156300563758,1137.75830078125,8.54881739616394,0.05,0,64
250,train,6.5944621553459015,731.0355973474759,12235.706314571225,1137.75830078125,10.503030776977539,0.05,0,64
300,train,6.5628877240558,708.3141599766526,12131.111913964056,1137.75830078125,12.703864336013794,0.05,0,64
350,train,6.540965115582502,692.9550371187635,12207.173788782158,1137.75830078125,14.721835136413574,0.05,0,64
400,train,6.522659287488372,680.3853218664455,12109.992753165741,1137.75830078125,16.953932523727417,0.05,0,64
450,train,6.5101279578029185,671.9123885236402,12009.167064099618,1137.75830078125,19.227977991104126,0.05,0,64
500,train,6.499976369435202,665.1259155576095,12041.316930566518,1137.75830078125,21.302653312683105,0.05,0,64
550,train,6.490279119806584,658.7071957834544,12150.725711191864,1137.75830078125,23.217707872390747,0.05,0,64
600,train,6.483862329441775,654.4939420361327,12248.815246412472,1137.75830078125,25.121776580810547,0.05,0,64
650,train,6.478745968843569,651.1538668200826,12326.95319730988,1137.75830078125,27.0392849445343,0.05,0,64
700,train,6.469267334985665,645.0109768258834,12393.240061616396,1137.75830078125,28.960304021835327,0.05,0,64
750,train,6.465574726759991,642.633596056467,12299.495806216908,1137.75830078125,31.26241970062256,0.05,0,64
800,train,6.45943964554576,638.7030561728985,12082.106714609778,1137.75830078125,33.94374918937683,0.05,0,64
850,train,6.4551685727721235,635.9809262847701,12008.9782474694,1137.75830078125,36.28218746185303,0.05,0,64
900,train,6.449042746811675,632.0969263159293,11943.598692892374,1137.75830078125,38.62420463562012,0.05,0,64
950,train,6.444210210934548,629.0496641738263,11898.650452916823,1137.75830078125,40.92161560058594,0.05,0,64
1000,train,6.442401497275918,627.91292178492,11847.883686155694,1137.75830078125,43.25768327713013,0.05,0,64
1050,train,6.436378629631819,624.1424512851688,11814.93868036659,1137.75830078125,45.54505228996277,0.05,0,64
1100,train,6.433183942027356,622.151692751579,11776.042514770883,1137.75830078125,47.86939239501953,0.05,0,64
1150,train,6.431556658574957,621.1400988952829,11748.251865091323,1137.75830078125,50.161675691604614,0.05,0,64
1200,train,6.429014966648683,619.5633567660446,11710.731773061101,1137.75830078125,52.50841808319092,0.05,0,64
1250,train,6.427900800697333,618.8734447788236,11678.332987061134,1137.75830078125,54.84618401527405,0.05,0,64
1300,train,6.4265222131610376,618.0208613767616,11650.202080948373,1137.75830078125,57.17600393295288,0.05,0,64
1350,train,6.423812645969348,616.3485589580156,11621.238735583447,1137.75830078125,59.52136564254761,0.05,0,64
1400,train,6.420569174124632,614.3526882854011,11595.22030645247,1137.75830078125,61.86273145675659,0.05,0,64
1450,train,6.417055428397812,612.197797238878,11571.288685005706,1137.75830078125,64.20304775238037,0.05,0,64
1500,train,6.415156420987896,611.0363322499396,11549.40190317424,1137.75830078125,66.54128122329712,0.05,0,64
1550,train,6.412256506471615,609.2669458946331,11528.771194436584,1137.75830078125,68.88088822364807,0.05,0,64
1600,train,6.410067866252111,607.9349379272479,11509.830067232444,1137.75830078125,71.21842765808105,0.05,0,64
1650,train,6.407922933059775,606.6323555755718,11491.974461756787,1137.75830078125,73.55672454833984,0.05,0,64
1700,train,6.40421763761544,604.3887626263346,11460.056958257726,1137.75830078125,75.99543380737305,0.05,0,64
1750,train,6.403201048201251,603.7746596063961,11388.855472079347,1137.75830078125,78.71835780143738,0.05,0,64
1800,train,6.400748339181209,602.2955906570626,11322.354358393883,1137.75830078125,81.4417188167572,0.05,0,64
1850,train,6.398749196419904,601.0927185439873,11259.664535805217,1137.75830078125,84.16875982284546,0.05,0,64
1900,train,6.397735085003254,600.4834525396674,11201.682980686777,1137.75830078125,86.88980054855347,0.05,0,64
1950,train,6.3960966611751715,599.5004116813491,11146.620802163474,1137.75830078125,89.61567974090576,0.05,0,64
2000,train,6.393706388916748,598.0691537079535,11093.802458150567,1137.75830078125,92.34994077682495,0.05,0,64
2050,train,6.3924338900130415,597.3085953729716,11043.34382038167,1137.75830078125,95.09003949165344,0.05,0,64
2100,train,6.391818520910453,596.9411431896243,10996.266426306469,1137.75830078125,97.82520341873169,0.05,0,64
2150,train,6.3900794814432125,595.90394111107,10950.013879414464,1137.75830078125,100.57631087303162,0.05,0,64
2200,train,6.3896619076622665,595.6551591953172,10906.234158755378,1137.75830078125,103.32732486724854,0.05,0,64
2250,train,6.389087469405145,595.3130903419479,10864.26986030818,1137.75830078125,106.08278465270996,0.05,0,64
2300,train,6.389144861817308,595.3472577766613,10824.961268362253,1137.75830078125,108.83290672302246,0.05,0,64
2350,train,6.388110296719128,594.7316507801328,10796.016847386376,1137.75830078125,111.49593567848206,0.05,0,64
2400,train,6.387732186053307,594.5068189080147,10760.384647477269,1137.75830078125,114.24424314498901,0.05,0,64
2450,train,6.3859943699613,593.4745725782324,10725.3535081965,1137.75830078125,117.0042552947998,0.05,0,64
2500,train,6.385316279066987,593.0722792856847,10692.919725109012,1137.75830078125,119.75326037406921,0.05,0,64
2550,train,6.384304448138588,592.4724939025996,10661.49587226671,1137.75830078125,122.5073869228363,0.05,0,64
2600,train,6.384444073593099,592.5552239193198,10631.114918034216,1137.75830078125,125.26550698280334,0.05,0,64
2650,train,6.382845105516915,591.6085041219696,10603.634294039404,1137.75830078125,128.00441455841064,0.05,0,64
2700,train,6.380966268438447,590.498011672356,10578.148335873582,1137.75830078125,130.73289918899536,0.05,0,64
2750,train,6.380256868457413,590.0792609425158,10551.678474484701,1137.75830078125,133.4870090484619,0.05,0,64
2800,train,6.378789464561738,589.2140113268401,10532.968747683148,1137.75830078125,136.15458607673645,0.05,0,64
2850,train,6.377925825302996,588.7053626509559,10529.18892262156,1137.75830078125,138.6347999572754,0.05,0,64
2900,train,6.377022272140887,588.1736762985972,10505.181273100172,1137.75830078125,141.38851690292358,0.05,0,64
2950,train,6.3759200846854,587.5257557814583,10482.030320101161,1137.75830078125,144.14306712150574,0.05,0,64
3000,val,6.213804244995117,499.59823478826826,37096.57530791688,1137.75830078125,0.013801813125610352,0.05,0,64
3050,val,6.334047616696825,563.4325436306865,45972.63513301933,1137.75830078125,0.5679900646209717,0.05,0,160
3100,val,6.327170834682955,559.5712327619967,49709.415163609905,1137.75830078125,1.0402858257293701,0.05,0,160
3150,val,6.310894884021077,550.5373955561031,54685.34316714907,1137.75830078125,1.4137609004974365,0.05,0,64
3200,val,6.3116404247283935,550.9479966362813,57186.24611709755,1137.75830078125,1.7906403541564941,nan,nan,nan
