step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s,route_frac,mixer_depth
0,train,10.54443359375,37965.517546305324,864.1983530406935,1332.787109375,0.592456579208374,0.1,1
50,train,7.175423715628829,1306.9137434664324,7408.562336502714,1378.56103515625,3.5245704650878906,0.1,1
100,train,6.8300178074600675,925.207287924199,7425.5925617487155,1378.56103515625,6.9640233516693115,0.1,1
150,train,6.711978798670485,822.1959911325274,7420.818200978906,1378.56103515625,10.41825819015503,0.1,1
200,train,6.637187208109234,762.9459638308338,7424.590132670854,1378.56103515625,13.86096715927124,0.1,1
250,train,6.593892526816562,730.6192971947428,7432.1181308510595,1378.56103515625,17.291436672210693,0.1,1
300,train,6.5636928659736915,708.8846830430834,7437.47778940434,1378.56103515625,20.72100305557251,0.1,1
350,train,6.536180626632821,689.6475200998113,7439.875426712401,1378.56103515625,24.155243158340454,0.1,1
400,train,6.517534355867533,676.9073135060349,7441.344156260003,1378.56103515625,27.5907142162323,0.1,1
450,train,6.504788269753466,668.334147818902,7624.371775534474,1378.56103515625,30.286036252975464,0.1,1
500,train,6.494754421972705,661.6617157772743,7874.261999419777,1378.56103515625,32.57600522041321,0.1,1
550,train,6.484405358343938,654.8494476791324,8089.33478538855,1378.56103515625,34.874561071395874,0.1,1
600,train,6.476752739777779,649.8572606522661,8278.289791477788,1378.56103515625,37.17096257209778,0.1,1
650,train,6.471427806145218,646.4060108616856,8445.264946211639,1378.56103515625,39.46732306480408,0.1,1
700,train,6.466335359211485,643.1225899727928,8594.559421281967,1378.56103515625,41.760372161865234,0.1,1
750,train,6.4597527495078175,638.9030679409692,8727.872019787474,1378.56103515625,44.055641412734985,0.1,1
800,train,6.451862732867028,633.881946516888,8848.397543570181,1378.56103515625,46.34873127937317,0.1,1
850,train,6.447258645583264,630.9702068029117,8956.405838851291,1378.56103515625,48.648085832595825,0.1,1
900,train,6.444727589631583,629.3752052762007,9054.256988615933,1378.56103515625,50.94973564147949,0.1,1
950,train,6.440736580095582,626.8683685622757,9145.075853396118,1378.56103515625,53.24307942390442,0.1,1
1000,train,6.437358118794657,624.7540915508753,9227.292896807372,1378.56103515625,55.54305100440979,0.1,1
1050,train,6.434527256509217,622.9879997162354,9303.691189146532,1378.56103515625,57.83854913711548,0.1,1
1100,train,6.430945572259748,620.7606446324826,9373.687895113946,1378.56103515625,60.137696743011475,0.1,1
1150,train,6.427560895759059,618.6631223856117,9438.957556503128,1378.56103515625,62.43401312828064,0.1,1
1200,train,6.423743460001695,616.305917761656,9498.083440514756,1378.56103515625,64.74063992500305,0.1,1
1250,train,6.421215203740328,614.749706545485,9552.944015256877,1378.56103515625,67.04865002632141,0.1,1
1300,train,6.419013128200006,613.3974706624937,9604.892979659044,1378.56103515625,69.35131931304932,0.1,1
1350,train,6.417279607009041,612.3350542753317,9653.99108695752,1378.56103515625,71.65036654472351,0.1,1
1400,train,6.414340322141899,610.5378696293785,9700.228132270064,1378.56103515625,73.94795155525208,0.1,1
1450,train,6.412258888260403,609.2683970415417,9743.409411123457,1378.56103515625,76.24764275550842,0.1,1
1500,train,6.410412851291684,608.1447025666178,9784.462591830088,1378.56103515625,78.54411959648132,0.1,1
1550,train,6.409207395089972,607.4120524409084,9823.30267133484,1378.56103515625,80.8396143913269,0.1,1
1600,train,6.4075285895476854,606.3931812034571,9859.117043152452,1378.56103515625,83.14253664016724,0.1,1
1650,train,6.405212128545067,604.9901207417681,9893.467693560897,1378.56103515625,85.44142723083496,0.1,1
1700,train,6.402957579866709,603.6276774890548,9925.927535540864,1378.56103515625,87.74112010002136,0.1,1
1750,train,6.400422423584403,602.0993251149181,9956.935070533174,1378.56103515625,90.03895211219788,0.1,1
1800,train,6.399097621606364,601.302190877125,9986.249528528499,1378.56103515625,92.33816933631897,0.1,1
1850,train,6.397226383079393,600.1780631347882,10014.45357403622,1378.56103515625,94.63441944122314,0.1,1
