step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s,pair_frac,mixer_depth,attn_rank
0,train,10.605453491210938,40354.31031684777,785.6720311066298,1091.357421875,0.6516714096069336,0.05,0,256
50,train,7.229295132206936,1379.2499724900254,8710.822359908176,1125.49658203125,2.997650384902954,0.05,0,256
100,train,6.856920941041247,950.4361086941208,9530.936608347116,1125.49658203125,5.425699710845947,0.05,0,256
150,train,6.7173378167562925,826.6139817916292,9820.794692561636,1125.49658203125,7.872275352478027,0.05,0,256
200,train,6.651747480553774,774.1359317251017,9970.253604197407,1125.49658203125,10.321903944015503,0.05,0,256
250,train,6.607881713198475,740.9118913743644,10061.332004113096,1125.49658203125,12.77286148071289,0.05,0,256
300,train,6.570904988387098,714.0157267711234,10118.969990491127,1125.49658203125,15.230008602142334,0.05,0,256
350,train,6.546529878578295,696.821916822947,10163.439034003017,1125.49658203125,17.682203769683838,0.05,0,256
400,train,6.532256761393939,686.9467383856176,10190.578216968857,1125.49658203125,20.147237539291382,0.05,0,256
450,train,6.522434052765502,680.2320927239396,10226.277702741078,1125.49658203125,22.580259084701538,0.05,0,256
500,train,6.5107494133437225,672.3300819759352,10256.487449105285,1125.49658203125,25.009731769561768,0.05,0,256
550,train,6.499912261962891,665.0832773831219,10283.567275829306,1125.49658203125,27.433281898498535,0.05,0,256
600,train,6.4908474558800116,659.0816692479536,10306.565557370479,1125.49658203125,29.85592031478882,0.05,0,256
650,train,6.481172652471633,652.7359300551509,10327.14351304282,1125.49658203125,32.275333404541016,0.05,0,256
700,train,6.471132523323091,646.2151664484836,10344.730428303505,1125.49658203125,34.69515252113342,0.05,0,256
750,train,6.466368397129836,643.1438377553989,10358.816796678228,1125.49658203125,37.11929726600647,0.05,0,256
800,train,6.459658052442077,638.8425685597446,10370.627216555147,1125.49658203125,39.54553484916687,0.05,0,256
850,train,6.454688582100964,635.6757346235526,10381.51572648807,1125.49658203125,41.96997928619385,0.05,0,256
900,train,6.449108826598105,632.1386965258915,10392.71964328521,1125.49658203125,44.387996196746826,0.05,0,256
950,train,6.446428641911937,630.4467164942594,10404.90244854683,1125.49658203125,46.79640221595764,0.05,0,256
1000,train,6.442683480002663,628.0900073491252,10412.485751933482,1125.49658203125,49.22090768814087,0.05,0,256
1050,train,6.438884559072391,625.7084695751156,10419.70906665595,1125.49658203125,51.64366841316223,0.05,0,256
1100,train,6.434785771867993,623.149072501493,10427.435123353076,1125.49658203125,54.060465812683105,0.05,0,256
1150,train,6.433984454873331,622.6499325708525,10434.646941372388,1125.49658203125,56.47646760940552,0.05,0,256
1200,train,6.431598480694697,621.1660768340965,10440.109056401068,1125.49658203125,58.899001598358154,0.05,0,256
1250,train,6.4274610508736565,618.6013551206786,10446.094695368663,1125.49658203125,61.31592893600464,0.05,0,256
1300,train,6.42415532838556,616.5598069648497,10450.254835920981,1125.49658203125,63.74122071266174,0.05,0,256
1350,train,6.4227463519634975,615.6917004484662,10454.129552282728,1125.49658203125,66.1663887500763,0.05,0,256
1400,train,6.418200437721399,612.899170887652,10457.673459559333,1125.49658203125,68.59192943572998,0.05,0,256
1450,train,6.415402560296509,611.1867508214995,10461.642634887541,1125.49658203125,71.01293992996216,0.05,0,256
1500,train,6.412522490702813,609.4290228488325,10464.871503058723,1125.49658203125,73.43730878829956,0.05,0,256
1550,train,6.409804047191627,607.7745742575152,10468.161369953701,1125.49658203125,75.8597400188446,0.05,0,256
1600,train,6.4091059466141,607.3504345395362,10471.115630401824,1125.49658203125,78.28315806388855,0.05,0,256
1650,train,6.4065367480901285,605.7920334776595,10491.138571403855,1125.49658203125,80.57390475273132,0.05,0,256
1700,train,6.40482775818804,604.7576251581288,10532.055206303292,1125.49658203125,82.69155287742615,0.05,0,256
1750,train,6.401782244426873,602.91862925362,10570.257792733397,1125.49658203125,84.81458234786987,0.05,0,256
1800,train,6.40045938486526,602.1215798884576,10601.27253064291,1125.49658203125,86.9812560081482,0.05,0,256
1850,train,6.399712411601243,601.6719791073798,10629.640717864175,1125.49658203125,89.15748190879822,0.05,0,256
1900,train,6.398125538632846,600.7179592622426,10656.004404434527,1125.49658203125,91.33930158615112,0.05,0,256
1950,train,6.396541000084655,599.7668522310784,10683.292714625939,1125.49658203125,93.50225877761841,0.05,0,256
2000,train,6.394864427870599,598.7621422614693,10709.113266909097,1125.49658203125,95.66730451583862,0.05,0,256
