step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s,route_frac,mixer_depth
0,train,10.537200927734375,37691.916263837105,840.5040510842487,1332.791015625,0.6091582775115967,0.25,1
50,train,7.15312733369715,1278.0967466766142,9014.395986053907,1380.38525390625,2.896699905395508,0.25,1
100,train,6.818704548448619,914.7991641476157,9962.908170590852,1380.38525390625,5.190452337265015,0.25,1
150,train,6.704523490754184,816.0890596644128,10338.206347926536,1380.38525390625,7.4782798290252686,0.25,1
200,train,6.631774446857509,758.8274757323268,10544.746056513804,1380.38525390625,9.759552240371704,0.25,1
250,train,6.589580125542751,727.47535744401,10669.809481078955,1380.38525390625,12.044451236724854,0.25,1
300,train,6.560109826021416,706.3492658652165,10397.117643466228,1380.38525390625,14.822569608688354,0.25,1
350,train,6.532879337625966,687.3745482559148,10083.784323625892,1380.38525390625,17.82188057899475,0.25,1
400,train,6.51446396692138,674.8321322102096,9859.573114727378,1380.38525390625,20.823619604110718,0.25,1
450,train,6.501984217743123,666.4627291120246,9692.49874808097,1380.38525390625,23.823784351348877,0.25,1
500,train,6.49222145156708,659.9878670322853,9560.859278819502,1380.38525390625,26.829387664794922,0.25,1
550,train,6.482077302603886,653.3266948780495,9459.49822842986,1380.38525390625,29.8231463432312,0.25,1
600,train,6.474661524006214,648.4996888820149,9375.153115026342,1380.38525390625,32.82207727432251,0.25,1
650,train,6.469494800596926,645.157711329891,9304.445207245708,1380.38525390625,35.822877407073975,0.25,1
700,train,6.464494569155357,641.9398252490541,9240.460025033322,1380.38525390625,38.84135627746582,0.25,1
750,train,6.458006474054288,637.7883407898481,9190.465083810868,1380.38525390625,41.838143825531006,0.25,1
800,train,6.450189945254285,632.822483024567,9146.291320828059,1380.38525390625,44.839157819747925,0.25,1
850,train,6.445660722241699,629.9627698994628,9110.584066247091,1380.38525390625,47.82481527328491,0.25,1
900,train,6.443158445030154,628.3883989939206,9083.07141487558,1380.38525390625,50.78810667991638,0.25,1
950,train,6.4392158777054425,625.9158127963836,9059.505107915473,1380.38525390625,53.74598217010498,0.25,1
1000,train,6.43587101184643,623.8257058758833,9038.672823022649,1380.38525390625,56.70212984085083,0.25,1
1050,train,6.433069120238328,622.0802602822511,9017.96233243161,1380.38525390625,59.67112970352173,0.25,1
1100,train,6.429516060367484,619.8738938701174,8995.944938967194,1380.38525390625,62.66290020942688,0.25,1
1150,train,6.426140457935483,617.7849737119682,8977.807611232129,1380.38525390625,65.64096999168396,0.25,1
1200,train,6.422346502616939,615.4455657360418,8963.158730394496,1380.38525390625,68.60438585281372,0.25,1
1250,train,6.419868737578296,613.9225238792092,9033.187210720722,1380.38525390625,70.90653443336487,0.25,1
1300,train,6.417700887001266,612.5930731275099,9100.098864700973,1380.38525390625,73.19832563400269,0.25,1
1350,train,6.416019765824234,611.564095100087,9163.022811168765,1380.38525390625,75.48949885368347,0.25,1
1400,train,6.413094643777307,609.7778093080492,9222.113712422477,1380.38525390625,77.78173446655273,0.25,1
1450,train,6.411057430822056,608.5368265573683,9278.781260212229,1380.38525390625,80.06568741798401,0.25,1
1500,train,6.409226524917226,607.423672239686,9332.32974185692,1380.38525390625,82.34942626953125,0.25,1
1550,train,6.408059692628763,606.7153240282898,9382.412997986276,1380.38525390625,84.6383547782898,0.25,1
1600,train,6.406395237271597,605.7063134164432,9429.589225296675,1380.38525390625,86.92976760864258,0.25,1
1650,train,6.404099385280597,604.3172964696047,9473.836970933731,1380.38525390625,89.22593903541565,0.25,1
1700,train,6.401871965465512,602.9727261660304,9443.69693818787,1380.38525390625,92.221510887146,0.25,1
1750,train,6.399363565145391,601.4621245755159,9414.761232096997,1380.38525390625,95.22408246994019,0.25,1
