step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s,pair_frac,mixer_depth
0,train,10.5272216796875,37317.64983678439,900.8146816083492,1186.79296875,0.5683743953704834,0.15,1
50,train,7.110654531740675,1224.94905179277,9991.99485226679,1228.46142578125,2.6132919788360596,0.38414522058823525,3
100,train,6.798945814076037,896.9012923908509,10339.646904930252,1229.84423828125,5.001331329345703,0.38414522058823525,3
150,train,6.68250997177023,798.3203609957338,10461.51382604079,1229.84423828125,7.390135049819946,0.38414522058823525,3
200,train,6.623838576511364,752.8293509193849,10527.719425113692,1229.84423828125,9.775336503982544,0.38414522058823525,3
250,train,6.582864472590595,722.6062533186176,10572.578473227017,1229.84423828125,12.155218362808228,0.38414522058823525,3
300,train,6.55612282737149,703.5386589619529,10605.99707514614,1229.84423828125,14.530647039413452,0.38414522058823525,3
350,train,6.539255077003414,691.7710698750651,10606.944810735715,1229.84423828125,16.942861795425415,0.38414522058823525,3
400,train,6.5210869663076805,679.3163781954504,10632.573114547089,1229.84423828125,19.30971908569336,0.38414522058823525,3
450,train,6.509010353003796,671.1618754802442,10646.622029615482,1229.84423828125,21.688757181167603,0.38414522058823525,3
500,train,6.49760589675751,663.551119989905,10658.116534561439,1229.84423828125,24.067291736602783,0.38414522058823525,3
550,train,6.4882459761659375,657.369309955196,10665.883648880643,1229.84423828125,26.449941635131836,0.38414522058823525,3
600,train,6.480920671028226,652.5714734342105,10672.852808058406,1229.84423828125,28.831279277801514,0.38414522058823525,3
650,train,6.474430989559894,648.3502045966007,10678.061585663881,1229.84423828125,31.214654207229614,0.38414522058823525,3
700,train,6.467920757734486,644.1430042449507,10682.147498337632,1229.84423828125,33.599236488342285,0.38414522058823525,3
750,train,6.461090125986803,639.7580934944773,10685.408472653988,1229.84423828125,35.9847731590271,0.38414522058823525,3
800,train,6.456022153037615,636.5240188062306,10690.533643463856,1229.84423828125,38.36216354370117,0.38414522058823525,3
850,train,6.450400981163447,632.9560453853417,10695.83632243536,1229.84423828125,40.73659944534302,0.38414522058823525,3
900,train,6.447033309513139,630.8280424741218,10692.517203536958,1229.84423828125,43.14344239234924,0.38414522058823525,3
950,train,6.444124518634142,628.9957617705771,10686.411022568085,1229.84423828125,45.56366014480591,0.38414522058823525,3
1000,val,6.516304016113281,676.0749996476906,46148.7009068638,1229.84423828125,0.01109457015991211,0.15,1
1050,val,6.3596914328780825,578.067956105422,81473.02812755483,1229.84423828125,0.3204987049102783,0.15,1
1100,val,6.364685173034668,580.9618970516638,90296.80008409545,1229.84423828125,0.567018985748291,nan,nan
