step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s
0,train,10.526914596557617,37306.19197542064,31.73559178430207,3056.74462890625,129.06644463539124
50,train,6.983766275293687,1078.9744388311333,1557.562841372433,3488.09228515625,134.11722111701965
100,train,6.660459999990936,780.9100731457572,2978.94791291081,3488.09228515625,138.87319016456604
150,val,6.376837730407715,588.0651437236696,243.18252741468606,3488.09228515625,16.843315362930298
180,val,6.343425846099853,568.7413981960293,7053.971456819204,3488.09228515625,17.419974088668823
200,train,6.3321062950860885,562.3398008832868,43212.067954063445,3488.09228515625,1.9905550479888916
250,train,6.325984666045283,558.9078804168024,43295.31900500013,3488.09228515625,6.717031002044678
300,train,6.3238530474260815,557.7177708529748,43397.44220954157,3488.09228515625,11.420396566390991
350,val,6.300338222866967,544.7561279502255,231613.25649896543,3488.09228515625,0.37137770652770996
360,val,6.309851376215617,549.9632051248445,236876.69473145268,3488.09228515625,0.5187509059906006
400,train,6.308138812460551,549.0221640995,43129.034517389606,3488.09228515625,3.893803834915161
450,train,6.3166794357719,553.7312361738656,43134.694729971685,3488.09228515625,8.641211032867432
500,train,6.3153781958505615,553.0111675762698,43145.92649063536,3488.09228515625,13.385643720626831
540,val,6.331102705001831,561.7757253327959,240207.6761338294,3488.09228515625,0.5115573406219482
