alpha,layer,chi_mean,chi_max,trunc_error_sum
0.0,0,2.0,2.0,0.0
0.0,1,4.0,4.0,0.0
0.0,2,3.7777777777777777,4.0,0.0
0.0,3,7.529411764705882,8.0,0.0
0.0,4,12.0,14.0,4.172325134277344e-06
0.0,5,19.176470588235293,22.0,6.198883056640625e-06
0.0,6,26.333333333333332,33.0,1.3649463653564453e-05
0.0,7,40.1764705882353,50.0,1.043081283569336e-05
0.0,8,52.05555555555556,73.0,1.1563301086425781e-05
0.0,9,76.23529411764706,103.0,1.1682510375976562e-05
0.0,10,91.33333333333333,135.0,1.0192394256591797e-05
0.0,11,127.58823529411765,187.0,1.1444091796875e-05
0.0,12,155.44444444444446,256.0,9.298324584960938e-06
0.0,13,187.2941176470588,300.0,1.2755393981933594e-05
0.0,14,236.66666666666666,421.0,9.5367431640625e-06
0.0,15,306.5882352941176,512.0,1.2636184692382812e-05
0.0,16,293.6111111111111,512.0,6.020069122314453e-05
0.0,17,309.2352941176471,512.0,0.00014537572860717773
0.0,18,296.72222222222223,512.0,0.0002148151397705078
0.0,19,310.7647058823529,512.0,0.0003649592399597168
0.0,20,299.94444444444446,512.0,0.0004697442054748535
0.0,21,310.2352941176471,512.0,0.0010492205619812012
0.0,22,300.6666666666667,512.0,0.0010418891906738281
0.0,23,311.05882352941177,512.0,0.0018922686576843262
0.5,0,2.0,2.0,0.0
0.5,1,4.0,4.0,0.0
0.5,2,7.333333333333333,8.0,0.0
0.5,3,14.588235294117647,16.0,0.0
0.5,4,26.0,32.0,0.0
0.5,5,51.294117647058826,64.0,0.0
0.5,6,90.0,128.0,0.0
0.5,7,174.88235294117646,255.0,1.1146068572998047e-05
0.5,8,297.22222222222223,501.0,7.748603820800781e-06
0.5,9,311.05882352941177,512.0,0.021426022052764893
0.5,10,303.3333333333333,512.0,0.047451019287109375
0.5,11,311.05882352941177,512.0,0.16957604885101318
0.5,12,303.3333333333333,512.0,0.20777690410614014
0.5,13,311.05882352941177,512.0,0.48735183477401733
0.5,14,303.3333333333333,512.0,0.4658495783805847
0.5,15,311.05882352941177,512.0,0.44250988960266113
0.5,16,303.3333333333333,512.0,0.4298408031463623
0.5,17,311.05882352941177,512.0,0.5833153128623962
0.5,18,303.3333333333333,512.0,0.5369358062744141
0.5,19,311.05882352941177,512.0,0.5271088480949402
0.5,20,303.3333333333333,512.0,0.4224693179130554
0.5,21,311.05882352941177,512.0,0.849079966545105
0.5,22,303.3333333333333,512.0,0.9709314703941345
0.5,23,311.05882352941177,512.0,0.5771414637565613
1.0,0,2.0,2.0,0.0
1.0,1,4.0,4.0,0.0
1.0,2,7.333333333333333,8.0,0.0
1.0,3,14.588235294117647,16.0,0.0
1.0,4,26.0,32.0,0.0
1.0,5,51.294117647058826,64.0,0.0
1.0,6,90.0,128.0,0.0
1.0,7,175.52941176470588,256.0,0.0
1.0,8,303.3333333333333,512.0,0.0
1.0,9,311.05882352941177,512.0,0.2963191866874695
1.0,10,303.3333333333333,512.0,0.6142101287841797
1.0,11,311.05882352941177,512.0,1.0001009106636047
1.0,12,303.3333333333333,512.0,0.6182870268821716
1.0,13,311.05882352941177,512.0,0.4655461311340332
1.0,14,303.3333333333333,512.0,0.3308296203613281
1.0,15,311.05882352941177,512.0,0.7602632641792297
1.0,16,303.3333333333333,512.0,0.7959789037704468
1.0,17,311.05882352941177,512.0,0.8629934787750244
1.0,18,303.3333333333333,512.0,0.8725582957267761
1.0,19,311.05882352941177,512.0,0.662328839302063
1.0,20,303.3333333333333,512.0,0.8995556831359863
1.0,21,311.05882352941177,512.0,0.7378413081169128
1.0,22,303.3333333333333,512.0,0.8975708484649658
1.0,23,311.05882352941177,512.0,1.2076337337493896
