step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s,route_frac,mixer_depth
2050,train,6.389820677312277,595.7497386644454,8669.780437674526,1398.18603515625,121.12325191497803,0.15,2
2100,train,6.388629162555533,595.0403167867497,8630.980429247438,1398.18603515625,124.63381290435791,0.15,2
2150,train,6.386637195993279,593.856196128438,8593.610691752425,1398.18603515625,128.15474653244019,0.15,2
2200,train,6.384846943392097,592.7939946167976,8558.616355529266,1398.18603515625,131.66988134384155,0.15,2
2250,train,6.383220593805368,591.8306878977091,8525.629499359391,1398.18603515625,135.18204140663147,0.15,2
2300,train,6.382541222139215,591.4287514447699,8494.069935456353,1398.18603515625,138.69817519187927,0.15,2
2350,train,6.380361630834452,590.1410822867526,8463.966675623007,1398.18603515625,142.2160608768463,0.15,2
2400,train,6.378699817045785,589.1611921219506,8435.123302019436,1398.18603515625,145.7372887134552,0.15,2
2450,train,6.3779120739018955,588.6972671830462,8408.00949907131,1398.18603515625,149.25197219848633,0.15,2
2500,train,6.376517718718177,587.8769861113918,8381.988209291258,1398.18603515625,152.76948237419128,0.15,2
2550,train,6.375683495503975,587.3867699857483,8357.180452918925,1398.18603515625,156.28620290756226,0.15,2
2600,train,6.374561960263603,586.7283643050815,8333.47767031531,1398.18603515625,159.80267214775085,0.15,2
2650,train,6.373154845610064,585.9033508064381,8311.019486709849,1398.18603515625,163.3147416114807,0.15,2
2700,train,6.372089993287263,585.27978232549,8289.131978732257,1398.18603515625,166.83435654640198,0.15,2
2750,train,6.371168642726997,584.7407828120131,8268.26667849395,1398.18603515625,170.35154461860657,0.15,2
2800,train,6.369881898579704,583.9888549052109,8248.211863561404,1398.18603515625,173.86944270133972,0.15,2
2850,train,6.369390190630283,583.7017735287624,8229.260286114193,1398.18603515625,177.38070607185364,0.15,2
2900,train,6.36888083767291,583.4045390092582,8210.689841686946,1398.18603515625,180.89978170394897,0.15,2
2950,train,6.36843819587524,583.1463569206499,8192.851431249032,1398.18603515625,184.4183325767517,0.15,2
3000,val,6.318876266479492,554.9490271077433,15099.093330333413,1398.18603515625,0.03390932083129883,0.15,2
3050,val,6.36659558614095,582.0728351114761,60310.91480331793,1398.18603515625,0.4329564571380615,0.15,2
3100,val,6.37023663284755,584.1960525119586,64133.2555621658,1398.18603515625,0.8063211441040039,0.15,2
3150,val,6.348904691784587,571.8659963306552,65587.81576999789,1398.18603515625,1.178755521774292,0.15,2
3200,val,6.346014461517334,570.2155581413535,66453.32273785443,1398.18603515625,1.540931224822998,0.15,2
