step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s
0,train,10.568586349487305,38893.65281124343,6369.198788730807,2493.30029296875,0.6430950164794922
50,train,6.932701718573477,1025.2602056982116,38208.791646768375,2973.58935546875,5.467223405838013
100,train,6.641215026968776,766.0251690502802,40252.831864447246,2973.58935546875,10.277438402175903
150,train,6.53911047108126,691.6710429140062,40951.5227347815,2974.58935546875,15.103125810623169
200,train,6.482326436398634,653.489480913664,41343.66938107163,2974.58935546875,19.913471937179565
250,train,6.451034310329483,633.3570418776867,41603.78472288995,2974.58935546875,24.71159791946411
300,val,6.364407539367676,580.8006248581337,191231.65235201138,2974.58935546875,0.021419048309326172
330,val,6.303846645355224,546.6707192338038,190422.7333813889,2974.58935546875,0.645301103591919
