step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s
0,train,10.579784393310547,39331.63332561897,10730.879110542013,4784.22119140625,0.763404369354248
50,train,6.959141993055157,1052.7299200518148,50711.249728240604,5240.42822265625,8.238645315170288
100,train,6.641846279106518,766.508876730498,52575.644196425725,5240.42822265625,15.737172842025757
150,train,6.528791351823617,684.5703066170378,53275.47913695071,5240.42822265625,23.21878695487976
200,val,6.3680315017700195,582.909242954504,211289.81464650502,5240.42822265625,0.03877139091491699
220,val,6.324939441680908,558.324001478153,211962.4495914479,5240.42822265625,0.7729671001434326
