step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s
0,train,10.533500671386719,37552.70423037146,349.46542538097617,4661.20751953125,23.44151782989502
50,train,6.875763135797837,968.51419148681,12506.492306563783,5136.55908203125,33.40600943565369
100,val,6.268280506134033,527.5694450842631,482.54627463013026,5136.55908203125,16.97661018371582
120,val,6.312334084510804,551.3302996825421,9036.430615339192,5136.55908203125,18.13105273246765
150,train,6.310641396430231,550.3978588441927,42881.87809401975,5136.55908203125,5.922128677368164
200,train,6.312789869897159,551.5816452516599,42774.95180423986,5136.55908203125,15.512629985809326
240,val,6.31894211769104,554.9855723767874,163606.9335775076,5136.55908203125,1.0014245510101318
250,train,6.3345817219127305,563.733556270105,42716.78879418298,5136.55908203125,2.1095218658447266
300,train,6.318883379951853,554.9529747363497,42745.97524880769,5136.55908203125,11.690270185470581
350,val,6.320820548317649,556.029054020378,168791.89441181856,5136.55908203125,0.5338644981384277
360,val,6.328435492515564,560.2793465708718,169244.95471825622,5136.55908203125,0.9680643081665039
