step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s
0,train,10.563321113586426,38689.406727905,5623.701819762585,4960.51123046875,1.4566917419433594
50,train,6.883584321713915,976.1188208858042,29836.376389615685,5451.11279296875,14.002772808074951
100,val,6.257242679595947,521.778244990454,114434.04794543359,5451.11279296875,0.07158708572387695
120,val,6.308924555778503,549.4537241218475,100029.02018849035,5451.11279296875,1.6379246711730957
150,train,6.318993876057286,555.0142982667,30763.981670054218,5451.86279296875,8.25484824180603
200,train,6.315835134482678,553.2639174839283,31411.82719228128,5451.86279296875,21.12427258491516
240,val,6.310161757469177,550.1339298873754,105126.89784561649,5451.86279296875,1.558497428894043
250,train,6.342332796616987,568.1200753350236,32574.880698029607,5451.86279296875,2.766303300857544
300,train,6.314666959105945,552.6179855530319,31443.94684708933,5451.86279296875,15.892152547836304
350,val,6.298438375646418,543.7221570390461,91729.19490199638,5451.86279296875,0.9823698997497559
360,val,6.299532580375671,544.3174260083466,86305.00100095474,5451.86279296875,1.898383617401123
