step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s
0,train,10.563261985778809,38687.11917573681,60.3833741640055,4831.32470703125,135.66648292541504
50,train,6.8887915517769605,981.2149530059819,2850.1721114898114,5306.23876953125,146.5848319530487
100,val,6.317909240722656,554.4126364983665,77.47200476834351,5306.23876953125,105.74142265319824
120,val,6.316729116439819,553.7587465948887,1529.0293559184022,5306.23876953125,107.15294599533081
150,train,6.314368524859028,552.4530900271407,39849.224904975024,5306.23876953125,6.372821569442749
200,train,6.317854710567144,554.382405115349,40328.08598521831,5306.23876953125,16.453843116760254
240,val,6.318978810310364,555.0059366247316,149777.56975760346,5306.23876953125,1.093888759613037
250,train,6.315404241735285,553.0255714289711,40646.80512108906,5306.23876953125,2.216951608657837
300,train,6.310168117773338,550.137428917626,40779.27620548977,5306.23876953125,12.254067420959473
350,val,6.316597851839933,553.6860624451156,149090.10089101302,5306.23876953125,0.6044130325317383
360,val,6.314792037010193,552.6871101754059,150496.54544287865,5306.23876953125,1.08866286277771
