step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s
0,train,10.512802124023438,36783.406937102125,645.6455641932916,1106.607421875,0.7930047512054443
50,train,7.137170380237055,1257.8640716087912,8220.348373845129,1155.08837890625,3.1765077114105225
100,train,6.819082788901754,915.1452436444965,9271.328790138537,1155.08837890625,5.577625513076782
150,train,6.701291949543732,813.4560908017108,9712.503131036712,1155.08837890625,7.9600489139556885
200,train,6.6234958610724455,752.5713888842646,9874.939546166264,1155.08837890625,10.421532154083252
250,train,6.589979802469808,727.7661706711804,10046.157923008537,1155.08837890625,12.79215407371521
300,train,6.560908187663436,706.9134131917804,10176.912446248629,1155.08837890625,15.143296241760254
350,train,6.541777705874538,693.5183544968636,10199.320816085024,1155.08837890625,17.619996786117554
400,train,6.526226029431731,682.8164136928947,10264.5179476236,1155.08837890625,20.002108335494995
450,train,6.508816809981996,671.0319893524289,10318.632864482648,1155.08837890625,22.37815833091736
500,val,6.229312896728516,507.4067228729732,54901.7933784993,1155.08837890625,0.009325742721557617
550,val,6.389837417602539,595.7597117714705,99029.09923644409,1155.08837890625,0.25850987434387207
