step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s
0,train,10.577857971191406,39255.93693221162,6197.514331951207,2537.50244140625,0.6609101295471191
50,train,6.980249451655967,1075.1865406092343,43420.17310438315,2979.83447265625,4.811035633087158
100,train,6.662430975696828,782.4507457437848,46319.19365859095,2979.83447265625,8.931416273117065
150,train,6.551583113259827,700.3520332414026,47468.96175076089,2979.83447265625,13.029482364654541
200,train,6.496604274161419,662.8868249364675,47981.6253698089,2979.83447265625,17.158568382263184
250,train,6.461021850783512,639.7144153716702,48290.95459743539,2979.83447265625,21.289618492126465
300,val,6.325103759765625,558.415751746635,217485.96944033017,2979.83447265625,0.018833398818969727
330,val,6.323424386978149,557.4787505364392,224861.805583369,2979.83447265625,0.54646897315979
